product_name,description,size_value,size_unit
Extra Virgin Olive Oil,Italian cold pressed olive oil,500,ml
Sourdough Bread,Artisan sourdough loaf,1,lb
Manchego Cheese,Aged Spanish sheep cheese,8,oz
Salmon Fillet,Wild caught Alaskan salmon,16,oz
Chicken Breast,Free range organic chicken,2,lb
Pink Himalayan Salt,Natural mineral salt,1,lb
Vanilla Extract,Pure Madagascar vanilla,4,fl oz
Grass Fed Ribeye,Premium beef ribeye steak,12,oz
Heirloom Tomato,Organic heritage tomatoes,2,lb
Wildflower Honey,Raw unprocessed honey,1,lb
Organic Quinoa,Whole grain quinoa seeds,2,lb
Virgin Coconut Oil,Cold pressed coconut oil,16,fl oz
Belgian Dark Chocolate,70% cacao dark chocolate,100,g
Premium Basmati Rice,Aged long grain basmati,5,lb
Greek Style Yogurt,Whole milk Greek yogurt,32,oz
